nm,pres_stat,bnf_code
Generic Aptamil Lactose Free powder,4,090900000BBKXA0
Hydrocolloid dressing semi-permeable sterile with adhesive border 8.47cm x 10cm sacral,4,20030400005
Hydrocolloid dressing semi-permeable sterile with adhesive border 15.08cm x 17.8cm sacral,4,20030400006
Generic R1 gel 6g sachets,4,21220000237
Generic R2 lotion 1g sachets,4,21220000238
Felbamate 600mg/5ml oral suspension,1,0408010AAAAACAC
Atomoxetine 25mg/5ml oral suspension,1,0404000S0AAAIAI
Ketamine 15mg/5ml oral solution,1,0406000W0AAAQAQ
Dithranol 8% in Emulsifying ointment,1,1305020F0AAERER
Dithranol 10% in Emulsifying ointment,1,1305020F0AAESES
Tiagabine 2.5mg/5ml oral suspension,1,0408010ABAAAEAE
"Colecalciferol 6,000units/5ml oral solution",1,0906040G0AABJBJ
Coal tar solution 6% / Salicylic acid 2.5% in White soft paraffin,1,1305020C0AAFRFR
Generic Avene XeraCalm A.D Lipid-Replenishing Cleansing oil,4,190205500BCNRA0
Generic Avene XeraCalm A.D Lipid-Replenishing cream,4,190205500BCNTA0
Generic Avene XeraCalm A.D Lipid-Replenishing balm,4,190205500BCNSA0
Pyridoxal phosphate 100mg/5ml oral suspension,1,090602800AACWCW
Atomoxetine 40mg/5ml oral suspension,1,0404000S0AAAJAJ
Glycopyrronium bromide 1% in Generic Unguentum M cream,4,1312000G0AABBBB
Salicylic acid 5% / Lactic acid 5% in Generic Unguentum M cream,4,1307000M0AABWBW
Gentamicin 30mg/5ml oral suspension,1,0501040H0AAAZAZ
Pentoxifylline 200mg/5ml oral solution,1,0206040AGAAAEAE
Valaciclovir 200mg/5ml oral suspension,1,0503021A0AAAGAG
Acitretin 10mg/5ml oral suspension,1,1305020A0AAADAD
Amphotericin B 100mg/ml oral solution,1,0502030A0AAANAN
Chlorhexidine gluconate 0.05% solution,1,1311020L0AAAQAQ
Phosphate 1mmol/ml oral solution,1,090502100AAAQAQ
Melatonin 2.5mg/5ml oral solution,1,0401010ADAACFCF
Methylphenidate 5mg/5ml oral suspension,1,0404000M0AABBBB
Nadolol 10mg/5ml oral solution,1,0204000M0AAADAD
Nadolol 10mg/5ml oral suspension,1,0204000M0AAADAD
Generic Elave body oil,4,130201000BBLMA0
Generic Elave lotion,4,130201000BBLNA0
Generic Elave shampoo,4,130201100BBBCA0
Generic Elave body wash,4,130201100BBBBA0
Glycopyrronium bromide 900micrograms/5ml oral suspension,1,0102000L0AABRBR
Adhesive dressing remover sterile spray,4,21360000103
Peginterferon beta-1a 63micrograms/0.5ml solution for injection pre-filled disposable devices and Peginterferon beta-1a 94micrograms/0.5ml solution for injection pre-filled disposable devices,1,0802040APAAAAAA
Generic Nutrison Advanced Protison liquid,4,090402000BBVXA0
Cabozantinib 20mg capsules and Cabozantinib 80mg capsules,1,0801050BRAAABAB
Zinc hyaluronate 0.15% eye drops preservative free,2,21300000165
Mercaptamine 0.55% eye drops preservative free,1,1108010A0AAAEAE
Aprepitant 40mg/5ml oral suspension,1,0406000ADAAADAD
Dextromethorphan 30mg/5ml oral suspension,1,0309010L0AAAHAH
Glycopyrronium bromide 1.3mg/5ml oral suspension,1,0102000L0AABJBJ
Hydralazine 35mg/5ml oral suspension,1,0205010J0AABSBS
Silk hat 0-3 months,4,20200000317
Silk hat 3-12 months,4,20200000318
Silk hat 12-24 months,4,20200000319
Silk bra extra small-small,4,20200000321
Silk bra medium-large,4,20200000322
Silk bra extra large-XX large,4,20200000323
Silk shorts extra small-small adult,4,20200000324
Silk shorts medium-large adult,4,20200000325
Silk shorts extra large-XX large adult,4,20200000326
"Colecalciferol 9,000units/5ml oral solution",1,0906040G0AADMDM
Hydrocortisone 1% / Tretinoin 0.1% / Hydroquinone 5% cream,1,1315000G0AABIBI
Generic C-Sorb dressing 7.5cm x 7.5cm square,4,20031700219
Generic C-Sorb dressing 15cm x 25cm rectangular,4,20031700220
Mifepristone 200mg tablets and Misoprostol 200microgram vaginal tablets,1,0701021A0AAAAAA
"Colecalciferol 10,000units/ml oral drops sugar free",1,0906040G0AADNDN
"Colecalciferol 10,000units/ml oral solution sugar free",1,0906040G0AADPDP
Ubidecarenone 30mg/5ml oral solution,1,091102000AABHBH
Acetic acid 1% solution,1,190600000AAA5A5
White soft paraffin 62.5% / Liquid paraffin 37.5% ointment,1,130201000AADDDD
Propylene glycol 60% in Clobetasol 0.05% cream,1,130400000AABJBJ
Salicylic acid 50% in Clobetasol 0.05% ointment,1,1304000G0AACNCN
Coal tar solution 12 % / Salicylic acid 3% in Emulsifying ointment,1,1305020C0AAFTFT
Mercaptamine 0.5% eye drops,1,1108010A0AAAAAA
Diclofenac 40mg/5ml oral solution,1,1001010C0AABKBK
Diclofenac 40mg/5ml oral suspension,1,1001010C0AABKBK
Glycopyrronium bromide 0.2% in Aqueous cream,1,1312000G0AABDBD
Hydrocortisone 5mg/5ml oral solution,1,0603020J0AAAJAJ
Soft silicone wound contact dressing sterile 5cm x 150cm,4,20030900243
Generic Xailin Wash eye drops 5ml unit dose preservative free,4,21300000170
Generic Otezla tablets treatment initiation pack,4,1001030AAAAABAB
Coal tar solution 10% / Salicylic acid 5% in Aqueous cream,1,1305020C0AAFVFV
Tramadol 50mg/5ml oral suspension,1,040702040AAAZAZ
Lidocaine 5% gel,1,1502010J0AABVBV
Amisulpride 200mg/5ml oral solution,1,0402010A0AAAMAM
Menthol 10% in Aqueous cream,1,1303000AAAAAKAK
Coal tar solution 10% / Salicylic acid 3% in Emulsifying ointment,1,1305020C0AAFWFW
Dithranol 0.01% in Yellow soft paraffin,1,1305020F0AAEUEU
Salicylic acid 15% in Emulsifying ointment,1,1305020S0AACXCX
Generic Exufiber dressing 5cm x 5cm square,4,20031700221
Generic Exufiber dressing 10cm x 10cm square,4,20031700222
Generic Exufiber dressing 15cm x 15cm square,4,20031700223
Generic Exufiber dressing 2cm x 50cm rectangular,4,20031700224
Generic Exufiber dressing 4.5cm x 10cm rectangular,4,20031700225
Generic Exufiber dressing 4.5cm x 20cm rectangular,4,20031700226
Generic Exufiber dressing 4.5cm x 30cm rectangular,4,20031700227
Generic Exufiber dressing 20cm x 30cm rectangular,4,20031700228
Soft polymer wound contact dressing with polyurethane foam film backing sterile without adhesive border 10cm x 20cm,4,20031600135
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 8cm x 13cm,4,20031600134
Clobetasol 0.05% ointment 20% in White soft paraffin,1,1304000G0AACPCP
Clobetasol 0.05% cream 25% in White soft paraffin,1,1304000G0AACQCQ
Clobetasol 0.05% cream 50% in White soft paraffin,1,1304000G0AACRCR
Clobetasol 0.05% ointment 10% in White soft paraffin,1,1304000G0AACJCJ
Coal tar solution 6% in Clobetasol 0.05% cream,1,1304000G0AACTCT
Clobetasol 0.05% ointment 30% in White soft paraffin,1,1304000G0AACSCS
Coal tar 3% / Salicylic acid 2% in Clobetasol 0.05% ointment,1,1304000G0AACUCU
Salicylic acid 10% in Clobetasol 0.05% ointment,1,1304000G0AACVCV
Propylene glycol 50% in Clobetasol 0.05% ointment,1,1304000G0AACWCW
Clobetasol 0.05% cream 30% in Aqueous cream,1,1304000G0AACXCX
Coal tar solution 10% in Clobetasol 0.05% ointment,1,1304000G0AACYCY
Coal tar solution 5% in Aqueous cream,1,1305020C0AAFXFX
Coal tar solution 10% / Salicylic acid 2% in Aqueous cream,1,1305020C0AAFYFY
Coal tar solution 2% in White soft paraffin,1,1305020C0AAFZFZ
Coal tar solution strong 15% in Emulsifying ointment,1,1305020C0AAGAGA
Coal tar 10% / Salicylic acid 5% in Aqueous cream,1,1305020C0AAFVFV
Coal tar solution 2% in Emulsifying ointment,1,1305020C0AAGBGB
Absorbent perforated plastic film faced dressing 20cm x 30cm,4,20030100661
Sodium hyaluronate 0.15% eye drops 0.4ml unit dose preservative free,2,21300000173
Sulfur 2% in Hydrocortisone 0.5% cream,1,1304000V0AAEQEQ
Normal immunoglobulin human 2.5g/25ml solution for infusion vials and Recombinant human hyaluronidase solution for infusion 1.25ml vials,1,1405010A0AACHCH
Normal immunoglobulin human 5g/50ml solution for infusion vials and Recombinant human hyaluronidase solution for infusion 2.5ml vials,1,1405010A0AACKCK
Normal immunoglobulin human 10g/100ml solution for infusion vials and Recombinant human hyaluronidase solution for infusion 5ml vials,1,1405010A0AACGCG
Normal immunoglobulin human 20g/200ml solution for infusion vials and Recombinant human hyaluronidase solution for infusion 10ml vials,1,1405010A0AACICI
Normal immunoglobulin human 30g/300ml solution for infusion vials and Recombinant human hyaluronidase solution for infusion 15ml vials,1,1405010A0AACJCJ
Generic Alpro Organic Soya Wholebean Unsweetened milk,4,090900000BBKYA0
Generic Alpro Organic Soya Original milk,4,090900000BBKZA0
Generic Skin Salvation scalp oil,4,190205500BCNYA0
Generic Thick & Easy Clear powder,4,190700000BBCRA0
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 6.5cm x 10cm,4,20030900257
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 8cm x 15cm,4,20030900258
Sodium hyaluronate 120mg/50ml intravesical solution pre-filled syringes,9,21012500115
Monobenzone 10% in Generic Unguentum M cream,4,131500000AABPBP
Diltiazem 0.5% ointment,1,0107010AAAAALAL
Hydrocortisone 0.5% / Salicylic acid 0.25% in Aqueous cream,1,1304000V0AAERER
Hydrocortisone 1% / Salicylic acid 1% / Sulfur 1% in Aqueous cream,1,1304000V0AAESES
Azithromycin 200mg/5ml oral suspension sugar free,1,0501050A0AAAHAH
Coal tar 6% / Salicylic acid 6% in White soft paraffin,1,1305020C0AAGCGC
Lansoprazole 50mg/5ml oral suspension,1,0103050L0AAAWAW
Mexiletine 50mg/5ml oral suspension,1,0203020P0AAAJAJ
Oxycodone 40mg/5ml / Naloxone 20mg/5ml oral suspension,1,0407020AFAAAEAE
Phytomenadione 500micrograms/5ml oral solution,1,0906060Q0AABBBB
Low protein flour,4,090401020BDAAA0
Phytomenadione 500micrograms/5ml oral suspension,1,0906060Q0AABBBB
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 10cm x 30cm,4,20031600137
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 4.4cm x 8.3cm,4,20031600138
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 8.9cm x 8.9cm,4,20031600139
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 8.9cm x 14cm,4,20031600140
Sulfur 1% in Aqueous cream,1,1306010T0AAAVAV
Sulfur 0.5% in Hydrocortisone 1% cream,1,1304000V0AAETET
Sulfur 5% in Aqueous cream,1,1306010T0AAAWAW
Sulfur 1% in Generic Unguentum M cream,4,1306010T0AAAXAX
Salicylic acid 1% / Sulfur 1% in Hydrocortisone 1% cream,1,1304000V0AAEUEU
Salicylic acid 1% / Sulfur 0.5% in Aqueous cream,1,1306010T0AAAYAY
Salicylic acid 4% / Sulfur 4% in White soft paraffin,1,1306010T0AAAZAZ
Propylene glycol 50% in Aqueous cream,1,130201000AADFDF
Menthol 1% in Cetomacrogol cream (Formula A),1,1303000AAAAAMAM
Menthol 1% in Hydrocortisone 1% cream,1,1303000AAAAANAN
Menthol 0.1% in Aqueous cream,1,1303000AAAAAPAP
Beclometasone 0.025% ointment 10% in White soft paraffin,1,1304000C0AACDCD
Coal tar solution 10% / Salicylic acid 2% in Betamethasone valerate 0.1% ointment,1,1305020I0AAAGAG
Coal tar solution 10% / Salicylic acid 5% in Betamethasone valerate 0.1% ointment,1,1305020I0AAAHAH
Coal tar solution 5% / Salicylic acid 2% in Generic Unguentum M cream,4,1305020C0AAGDGD
Salicylic acid 1% / Lactic acid 2% in Generic Unguentum M cream,4,1307000M0AABXBX
Salicylic acid 16.7% / Lactic acid 15% paint,1,1307000M0AABYBY
Ivermectin 10mg/g cream,1,1306030B0AAAAAA
Generic Lipikar Baume AP+ Lipid-Replenishing balm,4,131500000BBNCA0
Aluminium acetate 0.3% ear drops,1,1201010C0AABABA
Monobenzone 30% in Aqueous cream,1,131500000AABQBQ
Monobenzone 40% in Aqueous cream,1,131500000AABRBR
Monobenzone 20% in Aqueous cream,1,131500000AABSBS
Aprepitant 25mg/5ml oral suspension,1,0406000ADAAAEAE
Betamethasone valerate 0.1% cream 30% in Cetomacrogol cream (Formula A),1,1304000F0AADPDP
Betamethasone dipropionate 0.05% ointment 5% in White soft paraffin,1,1304000D0AACCCC
Betamethasone dipropionate 0.05% ointment 50% in White soft paraffin,1,1304000D0AACDCD
Coal tar 2% in Betamethasone dipropionate 0.05% ointment,1,1304000D0AACECE
Coal tar 5% / Salicylic acid 2% in Betamethasone valerate 0.025% ointment,1,1304000F0AAEFEF
Clobetasol 0.05% cream 10% in Generic Unguentum M cream,4,1304000G0AACZCZ
Clobetasol 0.05% cream 50% in Generic Unguentum M cream,4,1304000G0AADADA
Propylene glycol 40% in Clobetasol 0.05% ointment,1,1304000G0AADBDB
Salicylic acid 5% in Clobetasol 0.05% cream,1,1304000G0AADCDC
Betamethasone valerate 0.1% cream 10% in White soft paraffin,1,1304000F0AACUCU
Celiprolol 200mg/5ml oral suspension,1,020400060AAACAC
Coal tar solution 5% in Emulsifying ointment,1,1305020C0AAESES
Coal tar 2% in White soft paraffin,1,1305020C0AAGGGG
Gentamicin 35mg/5ml oral suspension,1,0501040H0AABABA
Generic MooGoo Scalp cream,4,131500000BBNEA0
Generic MooGoo Skin Milk Udder cream,4,131500000BBNFA0
Hydrocolloid dressing semi-permeable sterile without adhesive border 10cm x 9cm sacral,4,20030400276
Hydrocolloid dressing semi-permeable sterile without adhesive border 15cm x 16.5cm sacral,4,20030400277
Activated charcoal absorbent dressing 20cm x 20cm,4,20031000058
Activated charcoal absorbent dressing 4cm x 6.4cm,4,20031000059
Activated charcoal absorbent dressing 4cm x 6.5cm,4,20031000060
Betamethasone valerate 0.025% ointment 50% in Coal tar paste,1,1304000F0AAEGEG
Generic MSUD Anamix Junior oral powder 36g sachets,4,090401000BBTEA0
Generic TYR Anamix Junior oral powder 36g sachets,4,090401000BBTFA0
Coal tar solution 5% / Salicylic acid 10% in Betamethasone valerate 0.025% ointment,1,1305020I0AAAIAI
Glycopyrronium bromide 1% in White soft paraffin,1,1312000G0AABEBE
Betamethasone valerate 0.1% ointment 50% in Coal tar paste,1,1304000F0AAEHEH
Generic Microair Barrier gloves,4,21011300114
Natamycin 5% eye drops preservative free,1,1103010P0AAABAB
Prednisolone 10mg/ml oral solution sugar free,1,0603020T0AABMBM
Tafluprost 15micrograms/ml / Timolol 5mg/ml eye drops 0.3ml unit dose preservative free,1,1106000AMAAAAAA
Generic Meritene Energis powder,4,090402000BBWNA0
Generic Meritene Mobilis powder,4,090402000BBWRA0
Salicylic acid 20% in Hydrous ointment,1,1307000M0AABZBZ
Salicylic acid 20% in Yellow soft paraffin,1,1307000M0AABZBZ
Coal tar 5% in White soft paraffin,1,1305020C0AAAVAV
Coal tar 5% in Hydrous ointment,1,1305020C0AAAVAV
Coal tar 10% in White soft paraffin,1,1305020C0AABSBS
Coal tar 10% in Hydrous ointment,1,1305020C0AABSBS
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 23cm x 26cm,4,20030900260
Soft polymer wound contact dressing 10cm x 30cm,4,20031600148
Generic KerraMaxCare dressing 5cm x 5cm square,4,20031700173
Generic KerraMaxCare dressing 20cm x 50cm rectangular,4,20031700174
Generic KerraMaxCare Multisite dressing 21cm x 23cm,4,20031700235
Lisinopril 5mg/5ml oral solution sugar free,1,0205051L0AAAQAQ
Sterile subcutaneous drug delivery device 61cm tubing 6mm inserter/retractor,4,21010900840
Sterile subcutaneous drug delivery device 79cm tubing 6mm inserter/retractor,4,21010900841
Sterile subcutaneous drug delivery device 107cm tubing 6mm inserter/retractor,4,21010900842
Sterile subcutaneous drug delivery device 61cm tubing 9mm inserter/retractor,4,21010900843
Sterile subcutaneous drug delivery device 79cm tubing 9mm inserter/retractor,4,21010900844
Sterile subcutaneous drug delivery device 107cm tubing 9mm inserter/retractor,4,21010900845
Camellia sinensis extract 10% ointment,1,1307000W0AAAAAA
Ciprofloxacin 0.3% / Dexamethasone 0.1% ear drops,1,1201010AEAAAAAA
Generic Nutramigen 1 with LGG powder,4,090401000BBTGA0
Generic Nutramigen 2 with LGG powder,4,090401000BBTHA0
Generic IVA Anamix Junior powder,4,090401000BBTIA0
Generic HCU Anamix Junior oral powder 36g sachets,4,090401000BBTJA0
Generic GA1 Anamix Junior oral powder 18g sachets,4,090401000BBTKA0
Generic MMA / PA Anamix Junior oral powder 18g sachets,4,090401000BBTLA0
Honey impregnated gauze dressing 20cm x 30cm,4,20040200437
Honey impregnated gauze dressing 30cm x 30cm,4,20040200438
Honey impregnated gauze dressing 30cm x 60cm,4,20040200439
Permeable apertured non-woven synthetic adhesive tape BP 1988 1.25cm,1,20100000640
Impermeable plastic synthetic adhesive tape BP 1988 7.5cm,1,20100000327
Lancets sterile single use 1.6mm/30gauge,4,21010900853
Chondroitin sulfate 0.2%/40ml intravesical solution pre-filled syringes,9,21012500117
Generic Abilar resin salve,4,20031700013
Generic Accel-Heal device,4,21012600100
Generic MGDRx EyeBag,4,21300000900
Dithranol 0.4% in White soft paraffin,1,1305020F0AAEWEW
Hydrocortisone 0.5% ointment 50% in White soft paraffin,1,1304000V0AAEVEV
Ichthammol 1% / Clioquinol 3% in Hydrocortisone 1% ointment,1,1304000V0AAEWEW
Salicylic acid 2% / Sulfur 2% in Aqueous calamine cream,1,1306010T0AABCBC
Hydrocortisone 2.5% in White soft paraffin,1,1304000V0AAEJEJ
Coal tar solution 2% / Salicylic acid 2% in White soft paraffin,1,1305020C0AAGHGH
Ichthammol 7% in Yellow soft paraffin,1,1305010J0AAASAS
Lactic acid 5% in Aqueous cream,1,1302010K0AAAHAH
Betamethasone valerate 0.025% ointment 50% in White soft paraffin,1,1304000F0AAEIEI
Coal tar 5% in Betamethasone valerate 0.025% ointment,1,1304000F0AAEKEK
Betamethasone valerate 0.1% cream 50% in Coal tar paste,1,1304000F0AAEJEJ
Betamethasone valerate 0.1% cream 10% in Generic Unguentum M cream,4,1304000F0AAELEL
Betamethasone valerate 0.1% ointment 25% / Ichthammol 1% in Yellow soft paraffin,1,1304000F0AAEMEM
